traveler_id,category,category_affinity
U0001,activity,0.27049180325651706
U0001,entertainment,0.16393442621607096
U0001,food,-0.024590163932410643
U0001,historical,0.25409836063491
U0001,museum,0.1885245901484816
U0001,nature,0.04098360655401774
U0001,neighborhood,0.024590163932410643
U0001,shopping,0.032786885243214194
U0002,activity,0.1528925619771532
U0002,entertainment,0.16115702478672905
U0002,food,-0.004132231404787924
U0002,historical,0.21487603304897207
U0002,museum,0.2933884297399426
U0002,nature,0.08677685950054641
U0002,neighborhood,0.028925619833515468
U0002,shopping,0.057851239667030936
U0003,activity,0.1707317073066627
U0003,entertainment,0.3414634146133254
U0003,food,0.03658536585142772
U0003,historical,0.23170731705904224
U0003,museum,0.10975609755428316
U0003,nature,0.060975609752379534
U0003,neighborhood,0.048780487801903624
U0003,shopping,0.0
U0004,activity,0.19999999999245283
U0004,entertainment,0.13207547169312922
U0004,food,0.05660377358276967
U0004,historical,0.07924528301587754
U0004,museum,0.07547169811035956
U0004,nature,0.33207547168558205
U0004,neighborhood,0.07169811320484158
U0004,shopping,0.05283018867725169
U0005,activity,0.0
U0005,entertainment,0.0326086956504017
U0005,food,0.01630434782520085
U0005,historical,0.3315217391124173
U0005,museum,0.38586956519642013
U0005,nature,0.010869565216800567
U0005,neighborhood,0.1684782608604088
U0005,shopping,0.054347826084002834
U0006,activity,0.03906249999847412
U0006,entertainment,0.07031249999725342
U0006,food,0.05859374999771118
U0006,historical,0.2343749999908447
U0006,museum,0.30468749998809813
U0006,nature,0.1953124999923706
U0006,neighborhood,0.007812499999694824
U0006,shopping,0.08984374999649047
U0007,activity,0.17187499998657227
U0007,entertainment,0.03906249999694824
U0007,food,0.3749999999707031
U0007,historical,0.07031249999450684
U0007,museum,0.07812499999389648
U0007,nature,0.09374999999267578
U0007,neighborhood,0.04687499999633789
U0007,shopping,0.12499999999023437
U0008,activity,0.2624434389021519
U0008,entertainment,0.054298642531479695
U0008,food,0.12217194569582931
U0008,historical,0.06787330316434963
U0008,museum,0.07239819004197293
U0008,nature,0.09954751130771278
U0008,neighborhood,0.14932126696156917
U0008,shopping,0.1719457013496857
U0009,activity,0.1346938775455227
U0009,entertainment,0.2816326530497293
U0009,food,0.024489795917367763
U0009,historical,0.1673469387686797
U0009,museum,0.31428571427288626
U0009,nature,0.024489795917367763
U0009,neighborhood,0.0
U0009,shopping,0.053061224487630156
U0010,activity,0.19083969464920458
U0010,entertainment,0.03816793892984092
U0010,food,0.03435114503685682
U0010,historical,0.16793893129130003
U0010,museum,0.14885496182637958
U0010,nature,0.3129770992246955
U0010,neighborhood,0.06870229007371365
U0010,shopping,0.03816793892984092
U0011,activity,0.08749999999453124
U0011,entertainment,0.0062499999996093744
U0011,historical,0.3312499999792969
U0011,museum,0.37499999997656247
U0011,nature,0.09374999999414062
U0011,neighborhood,0.0062499999996093744
U0011,shopping,0.09999999999374999
U0012,activity,0.020408163264264888
U0012,entertainment,0.020408163264264888
U0012,food,-0.005102040816066222
U0012,historical,0.35714285712463556
U0012,museum,0.23979591835511244
U0012,nature,0.21428571427478132
U0012,neighborhood,0.13265306121772177
U0012,shopping,0.010204081632132444
U0013,activity,0.04830917874162757
U0013,entertainment,0.09178743960909239
U0013,food,0.25603864733062615
U0013,historical,0.25603864733062615
U0013,museum,0.2850241545756027
U0013,nature,0.014492753622488272
U0013,neighborhood,0.01932367149665103
U0013,shopping,0.028985507244976543
U0014,activity,0.09045226130198732
U0014,entertainment,0.005025125627888184
U0014,food,0.15075376883664554
U0014,historical,0.14070351758086916
U0014,museum,0.24120603013863284
U0014,nature,0.040201005023105474
U0014,neighborhood,0.10552763818565188
U0014,shopping,0.2261306532549683
U0015,activity,0.09036144577768906
U0015,entertainment,0.07831325300733052
U0015,food,0.26506024094788794
U0015,historical,0.030120481925896354
U0015,museum,0.09036144577768906
U0015,nature,0.024096385540717084
