traveler_id,poi_id,interest_match,preference_match,budget_match,mobility_match,party_match,poi_rating,poi_review_count,poi_popularity,tourist_level,expected_duration,trip_duration,geographic_distance
U0001,P0001,0.0,0.33299999999999996,0.6,1.0,1.0,4.32,5.337538079701318,0.32,0.667,30,3,5.6637814322732565
U0001,P0010,0.0,0.5589999999999999,0.6,1.0,1.0,3.69,3.8066624897703196,0.479,0.441,180,3,1.2843231976421747
U0001,P0011,0.0,0.132,0.6,1.0,1.0,4.76,5.231108616854587,0.371,0.868,45,3,17.59879068330836
U0001,P0012,0.0,0.20499999999999996,0.6,1.0,1.0,4.13,3.8066624897703196,0.301,0.795,90,3,23.411665155654507
U0001,P0017,0.0,0.43200000000000005,0.6,0.0,1.0,4.09,4.23410650459726,0.428,0.568,90,3,1.3054351803959063
U0001,P0019,0.5,0.17000000000000004,0.6,1.0,1.0,4.19,3.1780538303479458,0.525,0.83,180,3,17.08806072916304
U0001,P0020,0.0,0.383,1.0,1.0,1.0,3.5,5.736572297479192,0.643,0.617,30,3,14.141452945953894
U0001,P0036,0.0,0.808,0.6,1.0,1.0,4.26,7.346010209913293,0.95,0.192,30,3,10.48050645951798
U0001,P0037,0.0,0.856,0.6,0.0,1.0,4.08,7.3777589082278725,1.0,0.144,120,3,12.222799571058632
U0001,P0046,0.5,0.29200000000000004,0.2,1.0,1.0,4.14,6.663132695990803,0.812,0.708,90,3,22.637937119330974
U0001,P0050,0.0,0.21299999999999997,0.2,0.0,1.0,4.1,5.220355825078324,0.486,0.787,150,3,13.707710131116945
U0001,P0053,0.0,0.37,1.0,1.0,1.0,4.03,5.986452005284438,0.418,0.63,45,3,6.209672268843001
U0001,P0058,0.5,0.515,0.6,1.0,1.0,4.01,5.863631175598097,0.535,0.485,120,3,14.922684814580043
U0001,P0064,0.5,0.845,0.6,1.0,1.0,3.65,4.8283137373023015,0.408,0.155,90,3,16.902845903558482
U0001,P0077,0.5,0.9319999999999999,1.0,0.0,1.0,3.79,5.780743515792329,0.656,0.068,90,3,19.75680795198228
U0001,P0080,0.5,0.27,1.0,1.0,1.0,3.56,6.289715570908998,0.705,0.73,45,3,17.41664661917968
U0001,P0086,0.5,0.344,1.0,0.0,1.0,3.7,4.5217885770490405,0.474,0.656,120,3,16.22300372981901
U0001,P0087,0.0,0.831,0.2,1.0,1.0,4.07,5.910796644040527,0.392,0.169,90,3,6.595938616153596
U0001,P0104,0.5,0.5549999999999999,1.0,1.0,1.0,4.33,6.118097198041348,0.635,0.445,45,3,9.173366145004902
U0001,P0110,0.0,0.663,1.0,1.0,1.0,3.88,5.598421958998375,0.397,0.337,150,3,4.81206685963722
U0001,P0119,0.0,0.07699999999999996,0.6,0.0,1.0,3.19,5.726847747587197,0.593,0.923,150,3,8.905182514184062
U0001,P0129,0.5,0.07499999999999996,0.6,1.0,1.0,4.67,4.653960350157523,0.551,0.925,120,3,10.873686648212045
U0001,P0137,0.0,0.643,0.6,1.0,1.0,4.62,5.5134287461649825,0.627,0.357,180,3,18.67714894863407
U0001,P0140,0.0,0.355,1.0,1.0,1.0,4.13,5.043425116919247,0.467,0.645,45,3,23.964339077725132
U0001,P0141,0.5,0.33399999999999996,1.0,1.0,1.0,4.15,6.295266001439646,0.507,0.666,60,3,17.90611337827787
U0001,P0143,0.0,0.942,1.0,1.0,1.0,5.0,3.1780538303479458,0.308,0.058,180,3,11.290574176814426
U0001,P0156,0.5,0.785,0.2,0.0,1.0,4.0,6.818924065275521,0.86,0.215,60,3,17.414772631689754
U0001,P0158,0.0,0.479,0.2,1.0,1.0,4.69,5.5254529391317835,0.362,0.521,90,3,8.716777768295316
U0001,P0166,0.0,0.43100000000000005,0.2,1.0,1.0,4.09,4.430816798843313,0.377,0.569,150,3,6.636252343176808
U0001,P0169,0.0,0.02200000000000002,0.2,1.0,1.0,3.73,5.117993812416755,0.411,0.978,60,3,17.021482159466675
U0001,P0172,0.5,0.7050000000000001,0.2,0.0,1.0,4.21,4.897839799950911,0.419,0.295,150,3,20.6753925176187
U0001,P0184,0.0,0.44299999999999995,0.2,1.0,1.0,4.2,5.517452896464707,0.367,0.557,90,3,11.648891587389693
